variation_fee_begin	mineral_item_id=36731	fee_item_id=19440	fee_item_count=118	fee_adena=6485800	cancel_fee=6485800	variation_fee_end
variation_fee_begin	mineral_item_id=38571	fee_item_id=19440	fee_item_count=5	fee_adena=6985600	cancel_fee=6985600	variation_fee_end
variation_fee_begin	mineral_item_id=45929	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=45930	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=45931	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=47503	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=45932	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=47714	fee_item_id=19440	fee_item_count=5	fee_adena=6985600	cancel_fee=6985600	variation_fee_end
variation_fee_begin	mineral_item_id=47983	fee_item_id=19440	fee_item_count=10	fee_adena=130000	cancel_fee=130000	variation_fee_end
variation_fee_begin	mineral_item_id=48215	fee_item_id=19440	fee_item_count=1	fee_adena=698560	cancel_fee=698560	variation_fee_end
variation_fee_begin	mineral_item_id=80130	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=81135	fee_item_id=19440	fee_item_count=10	fee_adena=17710000	cancel_fee=17710000	variation_fee_end
variation_fee_begin	mineral_item_id=81489	fee_item_id=19440	fee_item_count=1	fee_adena=100000	cancel_fee=100000	variation_fee_end
variation_fee_begin	mineral_item_id=81728	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=81729	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=81931	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=82186	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=82309	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=82343	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=82391	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=82392	fee_item_id=19440	fee_item_count=10	fee_adena=130000	cancel_fee=130000	variation_fee_end
variation_fee_begin	mineral_item_id=82393	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
